,PC Time (%m/%d/%Y %H:%M:%S),Index,Scan count,Pressure (db),Depth (m),Temperature (C) Temperature (C) ,Conductivity (S/m) ,Salinity (PSU),[O2] (umol/kg) (SBE43),Density (kg/m3),Fluorescence (mg/m3) CDOM,Beam Transmission (%),PAR,Descent rate (m/s),Lat (Deg),Lon (Deg),Time (s),Voltage Input 1 (V),Current Input 1 (A),Voltage Input 2 (V),Current Input 2 (A),Roughing Pump Tach (rpm),Turbo Temp (C),Turbo Current (mA),Turbo Speed (%),Total Pressure (Torr),Hardware Function (Byte),Condition Code (Byte),Sample Temperature (°C),Sample Duty Cycle (%),Vacuum Temperature (°C),Vacuum Duty Cycle (%),Sterling Pump Temp (K),Unassigned Tc (°C),Leak Detect (0or1),Solenoid Valve Current State (0or1),uC Temp. (°C),uC Humidity (%),Storage Position (%),Optode,Temperature (°C),Pressure (dB),Conductivity,pH,Velocity of Sound (m/s),Density,Potential Temp (°C),Salinity,Depth (m).1,Winching Rate (m/s),Sat. [CH4] (umol/kg),Sat. [N2] (umol/kg),Sat. [O2] (umol/kg),Sat. [Ar] (umol/kg),Sat. [CO2] (umol/kg),Altitude (m),Scan Number,MASS( 5 ),MASS( 14 ),MASS( 15 ),MASS( 16 ),MASS( 17 ),MASS( 18 ),MASS( 28 ),MASS( 32 ),MASS( 34 ),MASS( 40 ),MASS( 44 ),MASS( 45 ),MASS( 62 ),Baseline (A) ,CPU Temp*1e-9 (°C)
0,2017-07-16 01:22:03,4082.0,228769.0,5.9193,5.8775,28.04669,5.8285363,36.40984,187.5014,1023.46529,0.01314,95.87268,0.0,-0.3471,33.078520000000005,-72.20298000000001,150018608.0,0.0,0.0,0.0,0.0,51.0,39.0,290.0,100.0,4.5600000000000004e-05,128.0,32.0,35.18,6.0,0.0,0.0,0.0,0.0,0.0,1.0,36.2,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1811.0,6.7538e-14,8.32667e-12,3.58297e-13,4.76765e-11,5.29937e-10,2.13419e-09,1.23691e-10,8.28333e-11,4.2714399999999997e-13,4.49674e-12,2.7835e-12,1.3544400000000001e-13,6.52967e-14,4.56801e-12,4.61442e-12
1,2017-07-16 01:22:06,4083.0,228817.0,5.3654,5.3275,28.04226,5.828122799999999,36.41052,188.2195,1023.4648900000001,0.01314,95.89913,0.0,-0.2632,33.0786,-72.20296,150018608.0,0.0,0.0,0.0,0.0,51.0,39.0,290.0,100.0,4.5600000000000004e-05,128.0,32.0,35.18,6.0,0.0,0.0,0.0,0.0,0.0,1.0,36.2,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1812.0,6.756230000000001e-14,8.52785e-12,3.86483e-13,4.76081e-11,5.29596e-10,2.13885e-09,1.25244e-10,8.28262e-11,4.26784e-13,4.56768e-12,2.8486700000000002e-12,1.37682e-13,6.49186e-14,4.50617e-12,4.658830000000001e-12
2,2017-07-16 01:22:10,4084.0,228865.0,4.9657,4.9306,28.04492,5.828512,36.41133,187.4157,1023.46291,0.01314,95.84622,0.0,-0.2113,33.07868,-72.20294,150018608.0,0.0,0.0,0.0,0.0,51.0,39.0,290.0,100.0,4.5600000000000004e-05,128.0,32.0,35.16,6.0,0.0,0.0,0.0,0.0,0.0,1.0,36.2,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1813.0,6.78364e-14,8.637089999999999e-12,4.0598099999999997e-13,4.77023e-11,5.291699999999999e-10,2.1406700000000002e-09,1.28171e-10,8.34532e-11,4.29136e-13,4.64251e-12,2.93743e-12,1.38747e-13,6.516319999999999e-14,4.58145e-12,4.6031e-12
3,2017-07-16 01:22:14,4085.0,228913.0,4.533,4.501,28.04741,5.8286309,36.41037,186.9161,1023.4595199999999,0.01314,95.87268,0.0,-0.2103,33.078759999999996,-72.20291999999999,150018608.0,0.0,0.0,0.0,0.0,51.0,39.0,290.0,100.0,4.3e-05,128.0,32.0,35.18,6.0,0.0,0.0,0.0,0.0,0.0,1.0,36.2,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1814.0,6.81746e-14,8.69482e-12,4.26437e-13,4.77494e-11,5.283170000000001e-10,2.13652e-09,1.2857299999999998e-10,8.36806e-11,4.32307e-13,4.73976e-12,3.09208e-12,1.4394000000000002e-13,6.56714e-14,4.6103099999999996e-12,4.6062e-12
4,2017-07-16 01:22:18,4086.0,228961.0,4.1229,4.0937,28.04676,5.828511499999999,36.41016,187.5493,1023.4578300000001,0.01314,95.87268,0.0,-0.2236,33.07884,-72.20291999999999,150018609.0,0.0,0.0,0.0,0.0,51.0,39.0,290.0,100.0,4.3e-05,128.0,32.0,35.16,6.0,0.0,0.0,0.0,0.0,0.0,1.0,36.3,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1814.0,6.81746e-14,8.69482e-12,4.26437e-13,4.77494e-11,5.283170000000001e-10,2.13652e-09,1.2857299999999998e-10,8.36806e-11,4.32307e-13,4.73976e-12,3.09208e-12,1.4394000000000002e-13,6.56714e-14,4.6103099999999996e-12,4.6062e-12
5,2017-07-16 01:22:21,4087.0,229009.0,3.3221,3.2986,28.045959999999997,5.8284395,36.41052,186.3194,1023.4549300000001,0.01314,95.89913,0.0,-0.4099,33.078920000000004,-72.20291999999999,150018609.0,0.0,0.0,0.0,0.0,51.0,39.0,290.0,100.0,4.3e-05,128.0,32.0,35.16,6.0,0.0,0.0,0.0,0.0,0.0,1.0,36.3,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1815.0,6.75605e-14,8.71792e-12,4.61242e-13,4.78035e-11,5.2782e-10,2.12179e-09,1.2856600000000002e-10,8.39915e-11,4.3094e-13,4.775180000000001e-12,3.14571e-12,1.43597e-13,6.55014e-14,4.66494e-12,4.61442e-12
6,2017-07-16 01:22:25,4088.0,229057.0,2.9703,2.9493,28.043090000000003,5.8281691,36.410940000000004,187.2688,1023.45469,0.01314,95.872,229417.0,6.0191,5.9765,28.045859999999998,5.8287033,0.0,0.0,0.0,0.0,51.0,39.0,290.0,100.0,4.3e-05,128.0,32.0,35.15,6.0,0.0,0.0,0.0,0.0,0.0,1.0,36.2,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1816.0,6.71685e-14,8.68905e-12,4.74371e-13,4.77751e-11,5.27876e-10,2.1214499999999995e-09,1.2872899999999997e-10,8.4091e-11,4.33362e-13,4.81792e-12,3.21765e-12,1.4593199999999998e-13,6.50816e-14,4.6124199999999994e-12,4.64639e-12
7,2017-07-16 01:22:30,4089.0,229465.0,6.829,6.7807,28.054440000000003,5.8295779,36.41091,187.9706,1023.46744,0.01314,95.87268,0.0,0.4231,33.07966,-72.20278,150018611.0,0.0,0.0,0.0,0.0,51.0,39.0,290.0,100.0,4.3e-05,128.0,32.0,35.16,6.0,0.0,0.0,0.0,0.0,0.0,1.0,36.3,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1816.0,6.71685e-14,8.68905e-12,4.74371e-13,4.77751e-11,5.27876e-10,2.1214499999999995e-09,1.2872899999999997e-10,8.4091e-11,4.33362e-13,4.81792e-12,3.21765e-12,1.4593199999999998e-13,6.50816e-14,4.6124199999999994e-12,4.615530000000001e-12
8,2017-07-16 01:22:32,4090.0,229513.0,6.8395,6.7911,28.037,5.8275117,36.40982,187.4465,1023.4724,0.01314,95.89913,0.0,-0.0056,33.07974,-72.20276,150018611.0,0.0,0.0,0.0,0.0,51.0,39.0,290.0,100.0,4.3e-05,128.0,32.0,35.16,6.0,0.0,0.0,0.0,0.0,0.0,1.0,36.3,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1817.0,6.78711e-14,8.70193e-12,4.95687e-13,4.7832e-11,5.27336e-10,2.1237800000000003e-09,1.2855799999999998e-10,8.41602e-11,4.3273699999999997e-13,4.83869e-12,3.2432400000000002e-12,1.47004e-13,6.52187e-14,4.60099e-12,4.615530000000001e-12
9,2017-07-16 01:22:41,4091.0,229561.0,7.0835,7.0334,28.04952,5.8290296999999995,36.41077,188.0273,1023.47004,0.01314,95.89913,0.0,0.1306,33.0798,-72.20274,150018611.0,0.0,0.0,0.0,0.0,51.0,39.0,290.0,100.0,4.3e-05,128.0,32.0,35.14,6.0,0.0,0.0,0.0,0.0,0.0,1.0,36.3,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1818.0,6.585010000000001e-14,8.67484e-12,5.020979999999999e-13,4.77334e-11,5.26668e-10,2.11173e-09,1.2836e-10,8.4146e-11,4.3235600000000005e-13,4.856780000000001e-12,3.27571e-12,1.47479e-13,6.47798e-14,4.55769e-12,4.6185300000000005e-12
